,,,,,,,,,,,,,,,
Image Size,total time,total time – file IO,File IO Read,File IO write,Host to Device,Horizontal Convolution,Vertical Convolution,Magnitude Kernel,Gradient Kernel,Thrust Sorting,Suppression Kernel,Hysteresis Kernel,Edge Linking Kernel,Device to Host,Block Size
2048,731106.22,670310.1,14659.26,46136.86,5161.2,2641.16,2294.28,919.74,966.26,7227.7,989.04,595.78,324.28,56304.88,24
2048,783417.36,721633.42,14637.68,47146.26,5229.56,3327.06,3203.36,1532.26,1575.24,5574.06,1204.34,921.02,660.56,56064.24,28
2048,727459.346938776,666668.918367347,14238.306122449,46552.1224489796,5923.97959183673,3945.81632653061,3988.95918367347,1198.44897959184,1166.63265306122,6535.28571428572,1151.89795918367,843.714285714286,525.673469387755,56778.8163265306,32
,,,,,,,,,,,,,,,
4096,987177.325301205,749678,60473.4819277108,177025.843373494,18888,7389.24096385542,7249.32530120482,1658.34939759036,1657.60240963855,12548.4096385542,3507.69879518072,1732.89156626506,1172.96385542169,210693.65060241,8
4096,919383.681818182,685651.590909091,62724.5909090909,171007.5,18416.1363636364,8770.79545454545,7661.13636363636,2429.95454545455,2366.90909090909,12821.1818181818,3373.97727272727,1859.79545454545,833.25,209770.886363636,12
4096,1093132.47916667,852888.916666667,62541.6875,177701.875,20173.625,10291.7916666667,9417.3125,2861.33333333333,2865.72916666667,14042.0833333333,3605.9375,2147.75,978.770833333333,212419.5625,16
4096,934401.083333333,695880.791666667,64859.3541666667,173660.9375,18553.0416666667,8435.97916666667,8607.85416666667,3194.02083333333,3208.77083333333,12299.125,3782.47916666667,2168.47916666667,999.604166666667,209105.083333333,20
4096,1301086.46808511,1056550.93617021,60689.5744680851,183845.957446809,19322.3404255319,10187.0425531915,9318.89361702128,3366.25531914894,3513.34042553191,13577.914893617,4039.29787234043,2373.14893617021,1088.82978723404,208243.382978723,24
4096,1245863.14893617,994749.127659575,62415.9361702128,188698.085106383,19126.3617021277,10117.5531914894,9870.51063829787,3517.40425531915,3586.97872340425,14292.7872340426,4767.04255319149,2792.82978723404,1366.55319148936,212651.638297872,28
4096,1391527.25531915,1135606.5106383,63279.2553191489,192641.489361702,19486.5744680851,16476.4042553192,15665,3671.23404255319,3806.51063829787,12474.1063829787,4676.57446808511,2673.25531914894,1264.93617021277,215742.170212766,32
,,,,,,,,,,,,,,,
10240,6241392.45,3712505.65,375079.15,2153807.65,118570.275,61997.25,64592.475,28234.4,28815.35,61674.75,39701.225,19949.05,9353.675,1468651.025,8
10240,5915542.2,3467249.3,364020.3,2084272.6,111421.5,59736.7,57143.4,33970.05,33414.25,63039.3,30282.15,19013,7068.6,1470117.25,12
10240,6924741.5,4512479.61538462,373342.923076923,2038918.96153846,119697.653846154,80842.3846153846,55355.0384615385,18553.8076923077,17575.1153846154,59659.4615384615,25365.4615384615,13647.7692307692,6766.11538461539,1452370.76923077,16
10240,5968208.44,3450328.24,369183.68,2148696.52,114602.92,64315.88,58793.16,25510,26996.28,66759.8,30463.68,16127.64,8715.72,1453783.52,20
10240,6846718.63333333,4400281,369282.7,2077154.93333333,120047.6,84647.5,57036.8666666667,24913.9666666667,23566.6666666667,60191.9333333333,28260.2333333333,15399.7333333333,8131.4,1455701.13333333,24
10240,6946755.14814815,4520650.92592593,379349.740740741,2046754.48148148,122074.407407407,79838.8518518519,63240.0740740741,26737.5185185185,30219.7037037037,59481.0740740741,28802.0740740741,16959.962962963,10092.6666666667,1443016.37037037,28
10240,7470925.25,5058697.70833333,376772.708333333,2035454.83333333,123318.708333333,115332.708333333,90538.4166666667,26247.7916666667,26296.25,60415.75,28901.5,17386.3333333333,10410.4583333333,1456024.45833333,32
